2023-10-30 21:44:44,702 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Configure stats pid to 33168
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Loading settings from C:\Users\xmoot\.config\wandb\settings
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Loading settings from c:\Users\xmoot\Desktop\VSCode\ssl-seizure-detection\notebooks\wandb\settings
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_init.py:_log_setup():528] Logging user logs to c:\Users\xmoot\Desktop\VSCode\ssl-seizure-detection\notebooks\wandb\run-20231030_214444-xaju9r75\logs\debug.log
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_init.py:_log_setup():529] Logging internal logs to c:\Users\xmoot\Desktop\VSCode\ssl-seizure-detection\notebooks\wandb\run-20231030_214444-xaju9r75\logs\debug-internal.log
2023-10-30 21:44:44,703 INFO    MainThread:33168 [wandb_init.py:_jupyter_setup():474] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002FE19AE36D0>
2023-10-30 21:44:44,704 INFO    MainThread:33168 [wandb_init.py:init():568] calling init triggers
2023-10-30 21:44:44,704 INFO    MainThread:33168 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'hidden_channels': [64, 64, 32], 'dropout': 0.1}
2023-10-30 21:44:44,704 INFO    MainThread:33168 [wandb_init.py:init():618] starting backend
2023-10-30 21:44:44,704 INFO    MainThread:33168 [wandb_init.py:init():622] setting up manager
2023-10-30 21:44:44,706 INFO    MainThread:33168 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-10-30 21:44:44,709 INFO    MainThread:33168 [wandb_init.py:init():628] backend started and connected
2023-10-30 21:44:44,713 INFO    MainThread:33168 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-30 21:44:44,714 INFO    MainThread:33168 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-10-30 21:44:44,714 INFO    MainThread:33168 [wandb_init.py:init():720] updated telemetry
2023-10-30 21:44:44,766 INFO    MainThread:33168 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 21:44:45,280 INFO    MainThread:33168 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 21:44:45,781 INFO    MainThread:33168 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 21:44:45,781 INFO    MainThread:33168 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 21:44:51,865 INFO    MainThread:33168 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 21:44:51,865 INFO    MainThread:33168 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 21:44:51,865 INFO    MainThread:33168 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 21:44:51,865 INFO    MainThread:33168 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 21:44:51,866 INFO    MainThread:33168 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 21:44:54,767 INFO    MainThread:33168 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-30 21:44:54,767 INFO    MainThread:33168 [wandb_init.py:_pause_backend():438] pausing backend
