2023-12-16 01:28:25,157 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Configure stats pid to 133307
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Loading settings from /home/xmootoo/.config/wandb/settings
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Loading settings from /project/6038079/xmootoo/ssl_epilepsy/ssl-seizure-detection/src/wandb/settings
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'init_timeout': '300'}
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-16 01:28:25,158 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program_abspath': '/project/6038079/xmootoo/ssl_epilepsy/ssl-seizure-detection/src/main.py', 'program': '/project/6038079/xmootoo/ssl_epilepsy/ssl-seizure-detection/src/main.py'}
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:_log_setup():528] Logging user logs to /project/6038079/xmootoo/ssl_epilepsy/ssl-seizure-detection/src/wandb/run-20231216_012825-356cpe3o/logs/debug.log
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:_log_setup():529] Logging internal logs to /project/6038079/xmootoo/ssl_epilepsy/ssl-seizure-detection/src/wandb/run-20231216_012825-356cpe3o/logs/debug-internal.log
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:init():568] calling init triggers
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'num_node_features': 9, 'num_edge_features': 3, 'hidden_channels': [64, 128, 128, 512, 512, 512], 'batch_norm': True, 'dropout': True, 'p': 0.1}
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:init():618] starting backend
2023-12-16 01:28:25,159 INFO    MainThread:133307 [wandb_init.py:init():622] setting up manager
2023-12-16 01:28:25,166 INFO    MainThread:133307 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-16 01:28:25,172 INFO    MainThread:133307 [wandb_init.py:init():628] backend started and connected
2023-12-16 01:28:25,175 INFO    MainThread:133307 [wandb_init.py:init():720] updated telemetry
2023-12-16 01:28:25,270 INFO    MainThread:133307 [wandb_init.py:init():753] communicating run to backend with 300.0 second timeout
2023-12-16 01:28:25,542 INFO    MainThread:133307 [wandb_run.py:_on_init():2220] communicating current version
2023-12-16 01:28:25,597 INFO    MainThread:133307 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-16 01:28:25,597 INFO    MainThread:133307 [wandb_init.py:init():804] starting run threads in backend
2023-12-16 01:28:25,993 INFO    MainThread:133307 [wandb_run.py:_console_start():2199] atexit reg
2023-12-16 01:28:25,993 INFO    MainThread:133307 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-12-16 01:28:25,994 INFO    MainThread:133307 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-12-16 01:28:25,994 INFO    MainThread:133307 [wandb_run.py:_redirect():2144] Redirects installed.
2023-12-16 01:28:25,996 INFO    MainThread:133307 [wandb_init.py:init():845] run started, returning control to user process
2023-12-16 01:41:15,957 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Patient ID = jh101 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,959 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Patient ID jh101 None
2023-12-16 01:41:15,960 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Model ID = VICRegT1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,960 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Model ID VICRegT1 None
2023-12-16 01:41:15,961 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Transfer ID = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,961 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Transfer ID None None
2023-12-16 01:41:15,961 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Classify = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,961 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Classify None None
2023-12-16 01:41:15,962 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Frozen = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,962 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Frozen None None
2023-12-16 01:41:15,962 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Predictive Head = linear - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,962 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Predictive Head linear None
2023-12-16 01:41:15,963 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Date & Time = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,963 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Date & Time None None
2023-12-16 01:41:15,963 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Data size = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,963 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Data size 1.0 None
2023-12-16 01:41:15,964 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Total examples = 72912 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,964 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Total examples 72912 None
2023-12-16 01:41:15,964 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Used examples = 72912 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,964 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Used examples 72912 None
2023-12-16 01:41:15,965 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Training examples = 58330 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,965 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Training examples 58330 None
2023-12-16 01:41:15,965 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Validation examples = 14582 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,965 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Validation examples 14582 None
2023-12-16 01:41:15,966 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Training batches = 228 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,966 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Training batches 228 None
2023-12-16 01:41:15,966 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Validation batches = 57 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,966 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Validation batches 57 None
2023-12-16 01:41:15,967 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Validation ratio = 0.2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,967 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Validation ratio 0.2 None
2023-12-16 01:41:15,967 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Test ratio = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,967 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Test ratio 0.0 None
2023-12-16 01:41:15,968 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Train ratio = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,968 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Train ratio None None
2023-12-16 01:41:15,968 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Batch size = 256 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
